att0,att1,att2,att3,att4,class
1,0,0,0,0,1
0,0,1,1,1,0
0,0,1,0,1,1
1,1,1,1,0,0
0,1,0,0,0,1
0,1,1,0,1,1
1,1,1,0,0,1
1,0,1,0,1,1
1,0,1,0,0,0
1,1,0,1,1,1
0,0,0,0,1,1
1,1,1,0,0,1
1,0,0,0,0,1
1,0,0,0,0,1
1,0,1,0,0,0
0,0,1,0,0,0
0,1,0,1,1,0
0,0,0,1,0,0
1,0,0,1,1,0
1,1,1,0,0,1
0,0,0,1,0,0
0,0,0,1,0,0
1,1,1,0,1,1
0,1,0,0,0,1
0,0,0,1,1,1
0,1,0,0,0,1
0,0,1,1,1,0
0,1,1,1,1,0
1,0,0,0,0,1
1,1,0,0,1,0
1,1,1,1,1,0
0,0,0,1,0,0
0,1,1,0,0,1
1,1,0,1,1,1
1,0,1,0,1,1
0,0,1,1,1,0
1,1,0,1,1,1
1,0,0,0,0,1
1,1,0,0,1,0
1,0,0,0,0,1
1,1,0,0,1,0
0,1,0,0,1,1
1,0,0,0,1,1
1,1,1,0,1,1
0,1,0,1,1,0
1,1,1,0,0,1
0,0,1,0,1,1
0,0,1,1,0,1
0,1,1,1,0,1
1,1,1,1,1,0
1,0,1,1,0,1
1,0,1,1,1,0
0,1,1,0,0,1
1,0,1,0,0,0
0,1,0,0,0,1
0,1,1,1,1,0
1,1,1,1,1,0
1,1,0,0,1,0
1,1,0,1,1,1
0,1,1,1,1,0
0,0,1,0,0,0
0,0,1,0,0,0
1,1,1,0,0,1
1,1,1,0,0,1
0,1,1,1,0,1
0,0,0,1,1,1
0,0,1,1,0,1
1,1,1,0,0,1
0,0,0,0,0,1
0,1,1,1,0,1
1,0,0,1,1,0
1,1,1,1,1,0
0,0,0,1,0,0
1,0,1,1,0,1
1,1,1,0,0,1
0,1,0,1,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,0
0,0,1,1,0,1
0,1,0,1,0,1
0,0,0,1,0,0
1,0,0,0,0,1
1,0,0,1,0,1
0,0,1,1,0,1
1,0,0,1,1,0
0,0,0,1,1,1
0,0,0,0,0,1
0,0,1,1,1,0
0,1,1,0,0,1
0,0,1,1,1,0
1,1,1,0,0,1
1,1,1,1,0,0
0,0,0,1,0,0
0,1,1,1,0,1
1,1,0,0,0,0
0,0,0,1,1,1
0,1,1,0,1,1
1,1,0,1,1,1
0,0,1,0,0,0
0,0,0,0,0,1
0,1,1,1,0,1
0,1,0,0,0,1
1,1,1,0,0,1
1,0,1,0,0,0
0,0,0,1,1,1
0,0,1,1,0,1
0,1,1,1,1,0
1,0,0,0,1,1
1,1,1,0,1,1
1,1,0,1,1,1
0,1,0,1,0,1
0,0,0,1,1,1
0,1,1,0,0,1
1,1,0,1,1,1
1,1,1,0,0,1
0,1,0,1,0,1
0,1,1,0,1,1
1,0,1,0,1,1
1,0,1,0,1,1
0,0,0,1,1,1
0,1,0,0,1,1
1,1,0,0,0,0
1,1,1,0,1,1
0,1,0,1,0,1
0,0,1,1,1,0
1,0,1,1,0,1
0,0,0,1,1,1
0,0,0,1,1,1
1,1,0,1,0,1
1,1,0,0,0,0
0,0,0,0,1,1
1,1,0,1,1,1
1,1,0,0,0,0
0,0,1,0,0,0
0,1,0,0,1,1
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,1,0
0,1,0,1,0,1
1,0,0,0,1,1
0,1,0,1,0,1
1,0,1,0,1,1
1,0,1,0,0,0
1,1,1,0,1,1
0,1,1,1,0,1
0,0,0,0,0,1
1,1,1,0,1,1
1,0,1,1,1,0
1,1,1,1,1,0
1,0,1,0,1,1
0,1,0,0,1,1
1,0,1,1,0,1
1,1,1,1,1,0
1,0,1,1,1,0
1,1,1,1,0,0
0,1,1,0,0,1
1,0,1,1,0,1
0,1,0,1,1,0
1,1,1,1,0,0
0,1,0,1,1,0
1,1,1,1,0,0
0,0,0,1,0,0
0,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,1
1,1,1,1,1,0
1,0,1,1,1,0
1,1,0,1,0,1
1,0,1,1,1,0
1,1,1,0,0,1
0,0,0,1,0,0
0,0,1,1,0,1
0,1,1,0,0,1
1,0,0,0,1,1
0,1,0,1,0,1
0,1,0,0,0,1
1,1,1,0,0,1
0,1,1,1,1,0
1,0,1,1,1,0
0,1,0,0,1,1
1,0,1,0,0,0
0,1,0,0,0,1
0,1,1,0,0,1
1,1,1,1,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,1,0,0
0,1,0,0,0,1
1,0,1,1,1,0
0,1,0,0,0,1
1,1,0,1,0,1
0,0,1,0,0,0
1,0,1,0,0,0
1,0,0,0,1,1
0,1,0,1,1,0
1,0,1,1,1,0
1,1,0,1,0,1
1,1,0,1,0,1
0,1,1,1,0,1
0,1,1,0,1,1
1,1,1,1,1,0
0,1,1,1,0,1
0,0,0,1,1,1
0,1,1,1,0,1
0,1,0,0,0,1
1,1,0,1,1,1
1,1,0,1,0,1
1,1,1,1,0,0
1,1,0,1,1,1
1,0,1,0,0,0
0,0,0,0,0,1
1,1,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,1
0,0,1,1,0,1
0,0,1,1,0,1
1,1,1,0,0,1
1,0,0,0,0,1
0,1,1,1,1,0
1,1,0,0,0,0
0,0,0,1,0,0
1,0,0,1,0,1
0,0,1,1,0,1
1,0,0,0,0,1
0,0,0,0,0,1
1,1,1,0,1,1
1,1,0,1,0,1
1,0,0,0,0,1
1,0,1,0,1,1
1,0,1,0,0,0
1,1,0,0,1,0
1,0,1,1,0,1
1,0,0,1,1,0
0,1,1,0,1,1
1,1,1,0,0,1
0,0,1,1,1,0
0,0,0,0,1,1
0,1,1,1,1,0
